"Subset","Size","LogLikelihood","NormalizedLL","Deviation"
1,1440,31960.4844192563,22.1947808467057,1.57389878888332
2,1440,26611.1510048449,18.4799659755867,2.14091608223569
3,1440,34220.6532664454,23.7643425461426,3.14346048832018
4,1440,33714.2137207174,23.4126484171649,2.79176635934243
5,1440,24334.9319588551,16.8992583047605,3.72162375306196
6,1440,30845.1574835015,21.4202482524316,0.799366194609146
7,1440,36680.5463257493,25.4726016151037,4.85171955728129
8,1440,30100.1404411022,20.902875306321,0.281993248498566
9,1440,27078.6802880047,18.8046390888921,1.81624296893028
10,1440,26639.156962748,18.4994145574639,2.12146750035853
